rx ry rz vx vy vz ax ay az
-4.726197E-01 +4.117612E+00 +6.188238E+00 -9.787799E-01 +2.897323E-02 -1.403128E+00 -2.471974E+00 +5.487401E-01 -5.573475E+00
-9.480686E-01 +8.346535E+00 +6.662786E+00 +1.466446E+00 -1.013511E-01 +5.243543E-01 +6.712892E+00 -1.892368E+01 -3.279016E+01
-6.229400E+00 -7.746607E-01 -3.444930E+00 -6.580356E-01 +1.607430E-01 +2.172179E-01 +4.401727E+00 +2.967276E+00 +2.837859E-01
-4.441752E+00 +8.037241E+00 +4.535987E+00 -1.519078E+00 +2.259175E-01 +5.911182E-01 +7.126923E+00 -3.540665E+00 -8.444373E+00
-3.471161E+00 +5.976020E+00 +1.386334E+00 -1.600199E+00 +5.954628E-01 -2.310537E-01 +7.633735E+00 -3.142949E+00 +1.172820E+01
+2.608254E+00 +1.174179E+01 -2.666311E-01 +1.161682E+00 -9.442754E-01 -6.234523E-01 -3.663240E+01 +6.199327E+00 +1.232044E+01
+4.461210E-01 +4.243491E+00 -9.660031E+00 -9.372008E-01 -1.421403E+00 +1.033320E+00 -1.040754E+01 -2.728374E+01 +3.422809E+00
+4.805202E+00 +7.470236E-01 +5.271821E-01 +8.332543E-01 -8.534192E-01 +2.759449E-01 +3.523049E+01 +9.338733E+00 +1.042070E+01
-4.576676E-01 +1.843640E+00 -6.208571E-01 -4.189070E-01 +8.338507E-01 -5.187255E-02 +1.288826E+01 -9.054164E+00 -1.064232E+01
+6.502726E+00 +1.485854E+01 +4.088912E+00 +1.725556E+00 +8.810350E-01 -3.100717E-01 -5.467018E-01 -4.749066E+01 -6.504745E+01
+4.097895E+00 -4.581917E+00 +3.273611E+00 -1.758652E-01 +1.003095E+00 +1.345991E+00 +3.722865E+00 -3.031900E+00 +1.500801E+00
-4.216236E+00 +2.920734E+00 +8.679592E+00 +6.255421E-01 +5.020507E-01 -1.465592E+00 -1.029709E+01 -2.590019E+01 -4.934297E+00
+1.715973E+00 -1.092874E+00 -9.420655E-01 -6.631168E-01 -8.583976E-01 +5.432617E-01 -2.932418E+00 +9.291701E+00 -1.755427E+01
